fecha_corte,variante,vida_media,umbral_parcial,horizonte_dias,n_seleccionados,n_efectivo,n_dias_reales,retorno_total,retorno_anualizado,sortino_realizado,max_drawdown
2017-10-29,grid_vm63_um0.1,63.0,0.1,63,16,5.86,42,0.030803529631901146,0.1848211777914069,5.209816587126324,-0.010164290829497317
2017-10-29,grid_vm63_um0.1,63.0,0.1,126,16,5.86,84,0.026292359163434875,0.07887707749030462,0.42177152797374623,-0.07324259618480183
2017-10-29,grid_vm63_um0.2,63.0,0.2,63,18,6.35,42,0.032732919623441936,0.19639751774065162,5.649005004335933,-0.010857755466484157
2017-10-29,grid_vm63_um0.2,63.0,0.2,126,18,6.35,84,0.02294407015856605,0.06883221047569815,0.31111513876178903,-0.0717525383161045
2017-10-29,grid_vm63_um0.3,63.0,0.3,63,18,6.35,42,0.032732919623441936,0.19639751774065162,5.649005004335933,-0.010857755466484157
2017-10-29,grid_vm63_um0.3,63.0,0.3,126,18,6.35,84,0.02294407015856605,0.06883221047569815,0.31111513876178903,-0.0717525383161045
2017-10-29,grid_vm126_um0.1,126.0,0.1,63,15,6.94,42,0.0293933145109789,0.17635988706587338,4.7423706459463775,-0.010237874013648899
2017-10-29,grid_vm126_um0.1,126.0,0.1,126,15,6.94,84,0.024867735040785988,0.07460320512235796,0.33961533797723054,-0.0817735591020569
2017-10-29,grid_vm126_um0.2,126.0,0.2,63,18,8.31,42,0.03809128652993995,0.22854771917963967,6.826988967316062,-0.012017403641081024
2017-10-29,grid_vm126_um0.2,126.0,0.2,126,18,8.31,84,0.02382856742019012,0.07148570226057036,0.3245632120524863,-0.07547816726286874
2017-10-29,grid_vm126_um0.3,126.0,0.3,63,18,6.14,42,0.03298160068519725,0.1978896041111835,5.699903734256586,-0.011305109257922386
2017-10-29,grid_vm126_um0.3,126.0,0.3,126,18,6.14,84,0.017539207871992757,0.05261762361597827,0.10992738057882884,-0.07076629162044919
2017-10-29,grid_vm189_um0.1,189.0,0.1,63,16,8.15,42,0.02958687809362668,0.1775212685617601,4.658325504232105,-0.008415970918129859
2017-10-29,grid_vm189_um0.1,189.0,0.1,126,16,8.15,84,0.012704247606536287,0.03811274281960886,-0.06605780498256976,-0.08138044499117977
2017-10-29,grid_vm189_um0.2,189.0,0.2,63,17,7.76,42,0.04183259071468632,0.25099554428811793,8.533037330176239,-0.011095019391300243
2017-10-29,grid_vm189_um0.2,189.0,0.2,126,17,7.76,84,0.034266039608462924,0.10279811882538878,0.6796517947251711,-0.07639509940514164
2017-10-29,grid_vm189_um0.3,189.0,0.3,63,18,6.89,42,0.036135750716438306,0.21681450429862983,6.633451555164424,-0.011345511615230995
2017-10-29,grid_vm189_um0.3,189.0,0.3,126,18,6.89,84,0.02872600870681129,0.08617802612043388,0.5064908908415419,-0.07418971449385742
2017-10-29,grid_vm252_um0.1,252.0,0.1,63,16,8.33,42,0.03012603876145059,0.18075623256870355,4.740454546377812,-0.008506772140693602
2017-10-29,grid_vm252_um0.1,252.0,0.1,126,16,8.33,84,0.013222419111421307,0.03966725733426392,-0.04832871031788867,-0.08188250924219846
2017-10-29,grid_vm252_um0.2,252.0,0.2,63,17,7.26,42,0.036892751604753825,0.22135650962852293,6.135319609068444,-0.010865345638712696
2017-10-29,grid_vm252_um0.2,252.0,0.2,126,17,7.26,84,0.026765711291515986,0.08029713387454795,0.44731816791138757,-0.072371326909942
2017-10-29,grid_vm252_um0.3,252.0,0.3,63,18,8.32,42,0.04128863292163,0.24773179752978,7.994372953274645,-0.010933296303307975
2017-10-29,grid_vm252_um0.3,252.0,0.3,126,18,8.32,84,0.03605452173583973,0.10816356520751919,0.7261660272433889,-0.07756712742962965
2017-10-29,hrp_crudo_sin_purga,,,63,99,2.1,42,0.004585862207132298,0.02751517324279379,-2.2152817392064224,-0.0020774731051499754
2017-10-29,hrp_crudo_sin_purga,,,126,99,2.1,84,-0.00648162577309465,-0.019444877319283953,-4.066621161340146,-0.015461135066697176
2017-10-29,equal_weight_universo_produccion,,,63,18,18.0,42,0.08750112205305491,0.5250067323183294,9.700767959750957,-0.02111668115004023
2017-10-29,equal_weight_universo_produccion,,,126,18,18.0,84,0.0933398242264837,0.2800194726794511,1.9091102924893664,-0.1035198364957852
2017-12-31,grid_vm63_um0.1,63.0,0.1,63,15,9.11,41,-0.012486990183724261,-0.07674930551947595,-0.7423408053951944,-0.10667443778835925
2017-12-31,grid_vm63_um0.1,63.0,0.1,126,15,9.11,85,0.014331449334185422,0.04248853214370266,-0.011211634875378414,-0.10667443778835925
2017-12-31,grid_vm63_um0.2,63.0,0.2,63,18,6.41,41,-0.011297121203826158,-0.06943596447229736,-1.0179732463707871,-0.07344238965153518
2017-12-31,grid_vm63_um0.2,63.0,0.2,126,18,6.41,85,0.012836173896371195,0.03805548025747696,-0.06400307470279078,-0.07344238965153518
2017-12-31,grid_vm63_um0.3,63.0,0.3,63,18,7.31,41,-0.009935149925739324,-0.061064823933812434,-0.8817660720252259,-0.07660906994492363
2017-12-31,grid_vm63_um0.3,63.0,0.3,126,18,7.31,85,0.009236046459960102,0.027382161269528776,-0.16610679836662914,-0.07660906994492363
2017-12-31,grid_vm126_um0.1,126.0,0.1,63,15,9.82,41,-0.020443567975688602,-0.12565314950911044,-1.0900572568420845,-0.09820023453420115
2017-12-31,grid_vm126_um0.1,126.0,0.1,126,15,9.82,85,-0.026343737232271968,-0.07810143273567689,-0.9202685953661902,-0.11090312954833928
2017-12-31,grid_vm126_um0.2,126.0,0.2,63,18,6.6,41,-0.016783191499816448,-0.10315522580374988,-1.3415760756402326,-0.07265392513781088
2017-12-31,grid_vm126_um0.2,126.0,0.2,126,18,6.6,85,0.009982191851826885,0.029594262901886766,-0.15959076018827512,-0.07265392513781088
2017-12-31,grid_vm126_um0.3,126.0,0.3,63,18,8.63,41,-0.014578587211450021,-0.0896049750557416,-1.0797384707902347,-0.0809279261329765
2017-12-31,grid_vm126_um0.3,126.0,0.3,126,18,8.63,85,0.008331994324476608,0.02470191258550712,-0.1871177496977091,-0.0809279261329765
2017-12-31,grid_vm189_um0.1,189.0,0.1,63,15,10.24,41,-0.030016054206154334,-0.18448891853538762,-1.4523729875178117,-0.09977174581498162
2017-12-31,grid_vm189_um0.1,189.0,0.1,126,15,10.24,85,-0.03626447267909572,-0.10751349547214262,-1.12695399713889,-0.11884099911291753
2017-12-31,grid_vm189_um0.2,189.0,0.2,63,17,6.34,41,-0.016044207265115767,-0.09861317636119936,-1.3377536482497272,-0.07127272247791656
2017-12-31,grid_vm189_um0.2,189.0,0.2,126,17,6.34,85,0.014225189505961671,0.0421735030059099,-0.02106079421031742,-0.07127272247791656
2017-12-31,grid_vm189_um0.3,189.0,0.3,63,18,9.14,41,-0.015388402130451876,-0.09458237407009445,-1.103926208093231,-0.08201459636723146
